-555	-146	-190	77	-407	247	-181	-586	235	400	298.3524988
-533	-510	183	-278	-265	408	535	-161	-552	598	467.5268976
-76	-311	554	-34	-511	209	331	192	-120	-562	299.0103967
205	155	-92	441	-267	-247	139	-48	61	-508	172.1770719
540	8	223	-593	90	-280	-218	-559	-389	-484	382.2446633
171	-110	-576	570	-499	-151	367	-214	549	406	405.1353249
408	-542	-305	383	480	98	-412	-487	196	215	358.8747657
-466	-84	124	58	419	552	509	-73	525	-566	396.9048937
-345	-316	120	-255	185	-109	-32	479	123	467	203.0240219
146	190	422	517	-63	549	-154	591	95	551	374.4497672
-214	-150	-509	377	-575	457	278	-556	521	271	436.0717522
542	360	16	398	197	-362	41	408	555	59	308.8820296
-129	-494	-516	495	469	486	426	-136	-316	-344	412.5697608
-388	80	-231	-267	-569	-446	313	-212	380	-538	346.2569995
326	-130	-199	-69	-204	-403	-404	-179	-451	111	196.635501
-284	-406	545	512	-276	414	-593	422	447	-440	494.8134456
-318	-453	204	138	-591	458	511	267	268	-590	420.5873144
-593	-279	-470	-168	35	-530	-345	274	-40	-518	357.1910784
-398	516	-7	140	509	-283	-107	406	286	135	265.9657146
-5	-413	255	-121	557	405	29	477	296	441	309.75061
-197	-17	153	465	-353	-502	336	-271	-85	-58	214.0677203
-104	10	71	-17	-136	-442	46	-481	273	-503	198.6929341
-374	-345	265	548	322	449	134	403	228	248	308.142408
-400	287	318	44	30	140	555	413	548	-597	376.2986877
244	376	136	565	-100	-525	-294	-244	-103	417	289.688109
160	-261	286	-296	576	348	-414	-480	-102	-255	299.3096822
215	-10	432	515	-411	-564	-284	530	-126	-248	357.0353173
-323	-166	2	336	-178	-580	-312	5	-443	-573	309.7038198
-30	-266	-285	-37	-49	402	399	-564	488	298	281.6103438
-51	306	369	79	-297	229	-554	-226	430	-77	233.0258609
547	-402	421	381	241	-506	145	-303	-79	193	314.4142697
106	-168	1	376	-573	448	269	543	-485	-590	416.1131478
418	-151	492	-113	-453	266	-294	-553	107	-1	284.0304325
-396	-441	266	-577	-431	-12	2	230	420	-43	294.0125106
307	410	-9	-300	-68	-213	-97	-378	487	-408	240.5892942
37	530	551	-57	-575	425	-332	-110	378	-293	363.8565001
-554	358	-221	59	319	373	-511	511	339	-9	342.3876244
-337	432	203	423	54	-550	59	335	380	-542	345.9042383
391	471	73	-286	252	-105	171	-473	520	391	304.1567473
-465	-114	461	-92	-590	-317	-178	260	-436	-56	298.8007292
339	596	-531	-583	-88	-99	-195	-366	41	-385	358.8481442
1	84	273	364	398	-520	-564	164	305	303	294.1769399
-65	127	155	387	-484	396	87	-465	-118	-592	294.305864
-134	385	430	556	582	-405	-88	24	397	393	371.8383094
-200	-205	166	-283	-315	173	564	-166	-462	-147	225.8768489
543	104	83	225	-19	580	374	-441	8	-23	259.7222667
-435	-354	-498	508	-23	562	-26	551	88	-545	437.5053392
-222	-237	-541	362	-159	-32	443	510	-208	-554	341.5030557
-263	408	584	-395	30	588	467	399	-545	499	501.6720911
